repo,pr_number,feedback_final,numero_revisoes,tamanho_files,tamanho_linhas_adicionadas,tamanho_linhas_removidas,tempo_analise_horas,descricao_caracteres,interacoes_participantes,interacoes_comentarios
dotnet/runtime,119669,MERGED,1,3,7,7,66.46,1238,dotnet-maestro[bot],1
dotnet/runtime,119668,MERGED,1,1,2,2,16.07,1212,dotnet-maestro[bot],0
dotnet/runtime,119666,MERGED,3,1,1,1,70.47,1334,github-actions[bot],4
dotnet/runtime,119663,MERGED,2,3,21,4,266.07,493,kg,1
dotnet/runtime,119662,MERGED,28,7,1571,995,550.92,9147,tarekgh,0
dotnet/runtime,119661,MERGED,2,1,2,0,2.68,79,jkoritzinsky,0
dotnet/runtime,119660,MERGED,5,2,9,3,3.83,1047,Copilot,1
dotnet/runtime,119658,MERGED,8,12,123,63,222.43,941,AndyAyersMS,14
dotnet/runtime,119656,MERGED,3,1,11,3,17.93,157,kg,1
dotnet/runtime,119653,MERGED,1,10,2,22,10.1,114,xtqqczze,4
dotnet/runtime,119652,MERGED,12,24,2810,1,121.18,120,vcsjones,1
dotnet/runtime,119651,MERGED,2,1,1,1,3.27,137,mdh1418,2
dotnet/runtime,119640,MERGED,14,10,107,11,22.35,742,radekdoulik,1
dotnet/runtime,119636,MERGED,2,1,4,4,70.4,0,cincuranet,1
dotnet/runtime,119635,MERGED,1,2,3,3,76.51,1122,dotnet-maestro[bot],1
dotnet/runtime,119629,MERGED,3,7,42,136,22.11,109,pavelsavara,3
dotnet/runtime,119628,MERGED,1,1,2,3,5.88,173,SeungHuLee,1
dotnet/runtime,119627,MERGED,1,1,7,0,88.92,371,github-actions[bot],2
dotnet/runtime,119626,MERGED,1,1,7,0,79.41,371,github-actions[bot],2
dotnet/runtime,119625,CLOSED,3,1,2,3,11.12,0,rcj1,9
dotnet/runtime,119624,MERGED,2,3,4,4,90.27,84,max-charlamb,1
dotnet/runtime,119620,MERGED,1,2,5,5,13.54,1085,dotnet-maestro[bot],0
dotnet/runtime,119619,MERGED,1,2,3,3,13.49,1053,dotnet-maestro[bot],0
dotnet/runtime,119618,MERGED,1,2,3,3,15.08,1037,dotnet-maestro[bot],0
dotnet/runtime,119608,MERGED,2,2,56,9,3.45,491,github-actions[bot],2
dotnet/runtime,119605,MERGED,3,6,111,26,40.28,693,MichalStrehovsky,1
dotnet/runtime,119602,MERGED,2,5,10,5,18.27,1755,Copilot,1
dotnet/runtime,119600,MERGED,4,2,56,9,2.45,53,stephentoub,3
dotnet/runtime,119599,MERGED,2,6,20,95,106.68,664,kzrnm,5
dotnet/runtime,119598,MERGED,1,1,2,2,20.01,1213,dotnet-maestro[bot],0
dotnet/runtime,119596,MERGED,3,1,1,1,3.55,227,davidwrighton,2
dotnet/runtime,119591,MERGED,21,3,50,48,94.32,0,radekdoulik,1
dotnet/runtime,119590,MERGED,2,1,6,2,4.29,40,kg,0
dotnet/runtime,119589,MERGED,2,1,10,0,18.84,14,rzikm,4
dotnet/runtime,119583,CLOSED,22,3,69,3,5.42,750,stephentoub,15
dotnet/runtime,119581,MERGED,2,17,61,198,29.17,316,pavelsavara,2
dotnet/runtime,119579,MERGED,2,1,2,0,3.42,534,jakobbotsch,1
dotnet/runtime,119577,MERGED,1,3,53,51,27.81,3695,dotnet-maestro[bot],7
dotnet/runtime,119576,MERGED,1,1,1,1,29.64,0,xtqqczze,6
dotnet/runtime,119574,MERGED,2,1,2,2,6.6,39,MichalStrehovsky,3
dotnet/runtime,119568,MERGED,1,1,9,1,17.47,13,nike4613,6
dotnet/runtime,119563,MERGED,2,1,4,3,22.65,558,stephentoub,1
dotnet/runtime,119562,MERGED,1,4,124,124,11.02,4153,dotnet-maestro[bot],0
dotnet/runtime,119558,MERGED,2,1,7,6,17.6,1794,max-charlamb,1
dotnet/runtime,119557,MERGED,2,1,2,2,3.72,930,MihaZupan,1
dotnet/runtime,119556,MERGED,4,3,30,11,16.01,382,davidwrighton,1
dotnet/runtime,119554,MERGED,8,3,70,2,16.99,705,davidwrighton,1
dotnet/runtime,119552,MERGED,2,1,0,18,6.92,247,elinor-fung,1
dotnet/runtime,119549,MERGED,3,1,49,10,16.0,430,kg,1
dotnet/runtime,119548,MERGED,2,3,52,0,2.5,153,kg,0
dotnet/runtime,119546,MERGED,3,1,140,5,22.35,212,max-charlamb,0
dotnet/runtime,119544,MERGED,4,1,2,2,2.27,148,jkotas,1
dotnet/runtime,119543,MERGED,7,28,105,755,505.88,0,huoyaoyuan,0
dotnet/runtime,119540,MERGED,2,3,15,5,119.2,755,jakobbotsch,6
dotnet/runtime,119539,MERGED,2,1,1,0,6.07,0,stephentoub,1
dotnet/runtime,119537,MERGED,5,4,193,176,40.99,575,jakobbotsch,1
dotnet/runtime,119535,MERGED,2,1,1,0,4.29,546,max-charlamb,1
dotnet/runtime,119530,MERGED,9,1,113,31,23.86,56,radekdoulik,0
dotnet/runtime,119528,MERGED,1,1,4,4,12.56,52,a74nh,3
dotnet/runtime,119524,MERGED,3,7,65,33,38.67,296,MichalStrehovsky,2
dotnet/runtime,119523,MERGED,1,1,0,2,120.15,506,github-actions[bot],6
dotnet/runtime,119522,MERGED,1,1,0,2,120.15,504,github-actions[bot],5
dotnet/runtime,119521,MERGED,1,1,0,2,65.31,497,github-actions[bot],6
dotnet/runtime,119518,MERGED,4,10,203,34,298.57,976,elinor-fung,2
dotnet/runtime,119517,MERGED,1,3,122,122,22.87,3117,dotnet-maestro[bot],0
dotnet/runtime,119516,MERGED,19,3,269,84,28.97,237,AaronRobinsonMSFT,15
dotnet/runtime,119515,MERGED,2,8,87,21,18.24,1349,github-actions[bot],1
dotnet/runtime,119514,MERGED,15,6,265,122,46.77,560,davidwrighton,2
dotnet/runtime,119511,MERGED,3,12,165,54,21.11,0,rcj1,1
dotnet/runtime,119509,MERGED,1,1,2,0,3.28,361,xtqqczze,3
dotnet/runtime,119506,MERGED,3,1,1,2,16.15,342,JulieLeeMSFT,1
dotnet/runtime,119505,MERGED,2,0,0,0,4.16,0,vseanreesermsft,1
dotnet/runtime,119504,MERGED,2,0,0,0,4.39,0,vseanreesermsft,1
dotnet/runtime,119497,MERGED,2,1,0,2,15.5,402,ManickaP,19
dotnet/runtime,119496,MERGED,2,1,1,1,319.12,1258,github-actions[bot],1
dotnet/runtime,119494,MERGED,3,5,5,26,24.61,1705,Copilot,2
dotnet/runtime,119493,MERGED,4,9,25,28,11.92,366,xtqqczze,2
dotnet/runtime,119487,MERGED,6,1,8,6,25.57,142,akoeplinger,0
dotnet/runtime,119482,CLOSED,2,4,24,1,81.76,807,liveans,0
dotnet/runtime,119481,CLOSED,2,4,24,1,81.79,1072,liveans,0
dotnet/runtime,119480,MERGED,3,4,24,1,154.68,519,github-actions[bot],1
dotnet/runtime,119477,MERGED,1,4,123,124,23.45,4408,dotnet-maestro[bot],0
dotnet/runtime,119476,MERGED,1,3,122,122,37.28,4305,dotnet-maestro[bot],3
dotnet/runtime,119474,MERGED,2,2,74,6,16.45,181,EgorBo,2
dotnet/runtime,119473,MERGED,3,3,4,4,5.71,338,elinor-fung,1
dotnet/runtime,119472,CLOSED,1,1,3,4,1.2,2598,ChrisMcKee,4
dotnet/runtime,119471,MERGED,3,1,3,1,65.21,1253,github-actions[bot],1
dotnet/runtime,119469,MERGED,3,10,269,20,333.69,509,github-actions[bot],2
dotnet/runtime,119467,MERGED,9,1,3,3,51.53,113,xtqqczze,4
dotnet/runtime,119463,MERGED,5,4,24,24,44.89,89,pavelsavara,3
dotnet/runtime,119459,MERGED,5,4,16,6,504.67,96,alinpahontu2912,19
dotnet/runtime,119456,MERGED,1,1,13,13,6.84,0,xtqqczze,1
dotnet/runtime,119455,MERGED,2,1,2,0,21.8,327,ManickaP,8
dotnet/runtime,119454,MERGED,2,1,2,0,21.88,325,ManickaP,7
dotnet/runtime,119453,MERGED,3,1,2,0,47.04,320,github-actions[bot],6
dotnet/runtime,119450,MERGED,2,2,14,6,15.83,978,github-actions[bot],2
dotnet/runtime,119448,MERGED,30,26,288,128,39.3,667,AaronRobinsonMSFT,4
dotnet/runtime,119447,MERGED,1,1,4,0,76.24,914,gwr,4
dotnet/runtime,119446,MERGED,3,11,299,172,45.96,747,davidwrighton,12
dotnet/runtime,119445,MERGED,5,3,2,16,14.56,0,MihaZupan,1
dotnet/runtime,119442,MERGED,2,1,1,1,2.78,189,Yoticc,0
dotnet/runtime,119439,MERGED,1,1,3,3,1.37,31,SaverinOnRails,1
dotnet/runtime,119438,MERGED,6,2,14,6,15.27,13,pedrobsaila,4
dotnet/runtime,119436,MERGED,2,1,1,1,387.74,0,akoeplinger,4
dotnet/runtime,119435,MERGED,3,5,32,100,43.56,928,MihaZupan,1
dotnet/runtime,119434,MERGED,1,1,4,4,30.17,0,github-actions[bot],1
dotnet/runtime,119433,MERGED,2,1,0,15,17.27,12,jkotas,6
dotnet/runtime,119429,CLOSED,22,3,39,3,451.31,446,steveisok,44
dotnet/runtime,119427,MERGED,20,61,160,531,586.43,66,huoyaoyuan,10
dotnet/runtime,119426,MERGED,3,7,8,15,22.0,99,SingleAccretion,1
dotnet/runtime,119421,CLOSED,2,1,2,1,87.32,508,github-actions[bot],2
dotnet/runtime,119417,MERGED,30,20,894,21,416.3,215,rcj1,6
dotnet/runtime,119415,MERGED,2,2,43,3,71.21,114,max-charlamb,1
dotnet/runtime,119414,MERGED,9,20,231,214,43.61,243,AaronRobinsonMSFT,1
dotnet/runtime,119412,MERGED,7,9,21,99,58.0,33,SingleAccretion,10
dotnet/runtime,119410,MERGED,5,1,8,1,64.79,129,max-charlamb,2
dotnet/runtime,119407,MERGED,3,15,644,95,138.96,2506,jtschuster,1
dotnet/runtime,119406,MERGED,3,6,34,3,139.73,622,github-actions[bot],3
dotnet/runtime,119405,MERGED,2,2,50,2,339.47,1308,github-actions[bot],1
dotnet/runtime,119403,MERGED,2,3,87,33,58.95,13,jkotas,13
dotnet/runtime,119399,MERGED,4,1,18,19,73.25,185,matouskozak,4
dotnet/runtime,119397,MERGED,2,1,30,26,2.81,96,sbomer,0
dotnet/runtime,119396,MERGED,2,1,1,1,95.66,1425,max-charlamb,4
dotnet/runtime,119393,MERGED,2,1,3,1,73.14,898,max-charlamb,6
dotnet/runtime,119392,MERGED,2,1,42,2,73.39,1250,github-actions[bot],0
dotnet/runtime,119390,MERGED,18,3,727,2,287.63,247,snickolls-arm,5
dotnet/runtime,119388,MERGED,3,1,10,2,146.67,518,jakobbotsch,2
dotnet/runtime,119385,MERGED,6,259,2258,2386,159.93,1129,MichalStrehovsky,10
dotnet/runtime,119384,MERGED,2,2,83,0,498.45,69,StephenMolloy,2
dotnet/runtime,119383,MERGED,1,1,1,1,9.08,494,nalywa,0
dotnet/runtime,119382,CLOSED,1,3,22,19,686.25,0,jeffhandley,4
dotnet/runtime,119381,CLOSED,1,3,5,0,686.38,0,jeffhandley,12
dotnet/runtime,119379,MERGED,1,3,122,122,89.01,3615,dotnet-maestro[bot],2
dotnet/runtime,119378,MERGED,1,6,129,131,85.14,4771,dotnet-maestro[bot],2
dotnet/runtime,119376,MERGED,4,1,2,1,26.34,90,JulieLeeMSFT,9
dotnet/runtime,119375,MERGED,4,2,50,2,19.57,116,jkoritzinsky,6
dotnet/runtime,119374,MERGED,2,3,1750,1648,506.52,71,StephenMolloy,2
dotnet/runtime,119373,MERGED,2,1,5,8,10.96,148,sbomer,4
dotnet/runtime,119372,MERGED,2,4,38,1,18.91,1183,github-actions[bot],1
dotnet/runtime,119369,MERGED,8,5,38,8,9.4,250,AaronRobinsonMSFT,2
dotnet/runtime,119368,MERGED,3,3,6,4,121.04,124,tannergooding,8
dotnet/runtime,119367,MERGED,1,1,1,1,12.27,12354,dependabot[bot],1
dotnet/runtime,119366,MERGED,1,1,1,1,12.33,9129,dependabot[bot],1
dotnet/runtime,119365,MERGED,1,1,1,1,12.33,12011,dependabot[bot],1
dotnet/runtime,119362,MERGED,3,4,38,1,2.14,437,vcsjones,3
dotnet/runtime,119360,MERGED,3,6,213,238,488.86,1325,jtschuster,1
dotnet/runtime,119359,MERGED,3,1,1,1,74.02,182,FixBo,2
dotnet/runtime,119357,MERGED,2,2,2,2,21.3,405,github-actions[bot],3
dotnet/runtime,119356,MERGED,18,6,116,22,99.73,161,janvorli,0
dotnet/runtime,119355,MERGED,11,19,59,16,450.73,419,kotlarmilos,9
dotnet/runtime,119354,MERGED,9,4,24,1,111.71,3295,liveans,20
dotnet/runtime,119351,MERGED,3,1,21,3,22.32,62,pavelsavara,1
dotnet/runtime,119349,MERGED,2,1,4,6,171.71,711,github-actions[bot],4
dotnet/runtime,119346,MERGED,2,3,135,50,445.75,501,github-actions[bot],2
dotnet/runtime,119344,MERGED,1,9,186,132,10.78,4670,dotnet-maestro[bot],3
dotnet/runtime,119343,MERGED,9,10,202,34,141.42,669,elinor-fung,4
dotnet/runtime,119342,CLOSED,1,3,329,326,23.07,0,jeffhandley,4
dotnet/runtime,119341,CLOSED,1,3,159,158,23.38,0,jeffhandley,6
dotnet/runtime,119340,MERGED,8,11,165,214,19.38,397,tarekgh,2
dotnet/runtime,119338,CLOSED,2,513,11558,8447,165.04,432,davidwrighton,1
dotnet/runtime,119336,MERGED,2,5,139,6,5.07,1005,davidwrighton,0
dotnet/runtime,119335,MERGED,4,12,20,15,22.53,40,AaronRobinsonMSFT,1
dotnet/runtime,119334,MERGED,2,2,2,2,20.6,71,AndyAyersMS,4
dotnet/runtime,119333,MERGED,2,1,1,1,2.62,931,github-actions[bot],1
dotnet/runtime,119331,MERGED,3,2,4,0,12.29,1195,SingleAccretion,2
dotnet/runtime,119329,MERGED,10,15,644,95,45.51,1082,jtschuster,3
dotnet/runtime,119328,MERGED,3,1,6,6,41.72,272,jakobbotsch,5
dotnet/runtime,119327,MERGED,9,1,4,6,17.49,442,janvorli,3
dotnet/runtime,119326,MERGED,3,5,63,4,44.15,134,a74nh,2
dotnet/runtime,119325,MERGED,1,3,19,3,21.87,165,SingleAccretion,8
dotnet/runtime,119324,MERGED,5,15,1307,148,455.58,683,max-charlamb,3
dotnet/runtime,119319,MERGED,3,1,1,1,24.06,384,max-charlamb,1
dotnet/runtime,119316,MERGED,5,1,42,2,28.18,501,janvorli,3
dotnet/runtime,119315,MERGED,2,1,1,0,173.05,572,github-actions[bot],3
dotnet/runtime,119312,MERGED,5,1,1,1,13.99,36,MichalStrehovsky,2
dotnet/runtime,119310,MERGED,10,192,202,195,195.76,210,xtqqczze,4
dotnet/runtime,119308,CLOSED,1,1,4,0,1.49,128,alinpahontu2912,0
home-assistant/core,154071,MERGED,2,8,75,16,4.29,5281,chemelli74,1
home-assistant/core,154031,MERGED,2,3,19,15,17.82,5818,thecode,1
home-assistant/core,154011,MERGED,2,2,7,10,17.68,5311,joostlek,1
home-assistant/core,154008,MERGED,5,5,30,16,1.47,4653,epenet,5
home-assistant/core,154004,MERGED,4,1,14,3,1.79,4955,joostlek,1
home-assistant/core,153999,CLOSED,1,1,5,5,3.28,4708,abmantis,1
home-assistant/core,153998,MERGED,1,2,62,64,8.13,4717,hanwg,0
home-assistant/core,153997,MERGED,6,3,615,0,3.59,4792,thomasddn,0
home-assistant/core,153996,MERGED,2,1,1,1,5.08,4812,arturpragacz,1
home-assistant/core,153987,MERGED,2,3,59,4,13.0,5454,thecode,2
home-assistant/core,153983,MERGED,17,2,5,5,8.43,5010,emontnemery,0
home-assistant/core,153979,MERGED,1,1,2,2,5.68,9660,dependabot[bot],1
home-assistant/core,153967,MERGED,1,3,3,3,7.9,4905,michaeldavie,1
home-assistant/core,153962,MERGED,2,3,3,3,1.55,4997,VandeurenGlenn,0
home-assistant/core,153961,MERGED,2,2,3,3,16.72,3778,funkybunch,3
home-assistant/core,153957,MERGED,2,1,1,1,1.68,5218,bieniu,0
home-assistant/core,153955,CLOSED,1,2,24,0,36.69,4602,jpbede,0
home-assistant/core,153954,MERGED,2,3,3,3,2.96,2691,gjohansson-ST,0
home-assistant/core,153942,MERGED,4,5,14,155,5.45,4884,davet2001,1
home-assistant/core,153941,MERGED,9,30,2303,116,39.94,5601,emontnemery,4
home-assistant/core,153936,MERGED,2,3,64,9,16.22,5077,Shulyaka,0
home-assistant/core,153929,MERGED,2,1,11,0,3.15,4880,mbo18,1
home-assistant/core,153926,MERGED,2,7,7,6,3.69,5098,Shulyaka,1
home-assistant/core,153918,MERGED,4,10,754,0,30.44,5161,bieniu,1
home-assistant/core,153914,MERGED,2,2,31,1,7.51,4488,TheJulianJES,5
home-assistant/core,153910,CLOSED,2,1,4,0,42.57,4683,MindFreeze,14
home-assistant/core,153894,MERGED,2,1,0,34,4.08,4807,emontnemery,1
home-assistant/core,153882,MERGED,2,1,0,1,5.93,3435,TheJulianJES,1
home-assistant/core,153881,MERGED,1,1,4,6,6.36,4352,cdce8p,0
home-assistant/core,153879,MERGED,17,4,152,17,18.16,5776,LaStrada,4
home-assistant/core,153876,MERGED,2,2,0,81,1.24,4949,davet2001,0
home-assistant/core,153874,MERGED,2,4,4,4,15.27,5227,pantherale0,0
home-assistant/core,153872,MERGED,10,4,253,193,59.93,4881,CFenner,2
home-assistant/core,153870,MERGED,2,2,6,6,47.05,9765,bieniu,0
home-assistant/core,153865,MERGED,3,4,137,47,25.05,5060,thecode,1
home-assistant/core,153858,MERGED,1,2,6,4,13.14,4985,CFenner,1
home-assistant/core,153856,MERGED,2,2,2,1,1.93,2635,gjohansson-ST,0
home-assistant/core,153853,MERGED,4,1,19,3,46.01,5193,bachya,1
home-assistant/core,153850,MERGED,5,1,1,1,1.53,5333,NoRi2909,1
home-assistant/core,153844,MERGED,2,16,287,79,7.91,5965,thecode,1
home-assistant/core,153843,MERGED,2,4,5,5,1.07,5270,chemelli74,1
home-assistant/core,153840,MERGED,3,3,34,18,1.86,5173,chemelli74,1
home-assistant/core,153834,MERGED,1,1,1,1,6.35,4263,alec-pinson,16
home-assistant/core,153831,MERGED,1,7,283,0,23.6,4982,FMKaiba,7
home-assistant/core,153830,MERGED,2,8,261,182,4.15,4797,joostlek,3
home-assistant/core,153828,MERGED,2,2,89,5,8.5,4798,joostlek,1
home-assistant/core,153827,MERGED,5,2,14,14,11.84,5062,davidrapan,1
home-assistant/core,153826,MERGED,2,3,3,3,2.27,4858,joostlek,2
home-assistant/core,153822,MERGED,5,3,50,50,12.34,4912,davidrapan,3
home-assistant/core,153810,MERGED,2,2,4,4,2.26,4798,andrew-codechimp,1
home-assistant/core,153805,CLOSED,3,1,6,1,3.54,5287,zweckj,0
home-assistant/core,153804,MERGED,2,1,1,0,3.13,5236,zweckj,0
home-assistant/core,153800,MERGED,2,5,122,3,3.71,4646,epenet,1
home-assistant/core,153799,MERGED,2,1,3,3,3.74,3418,dependabot[bot],0
home-assistant/core,153797,MERGED,2,2,4,1,2.49,5196,tronikos,0
home-assistant/core,153795,MERGED,1,1,45,58,4.46,5207,tronikos,0
home-assistant/core,153793,MERGED,2,2,6,12,3.26,5281,tronikos,0
home-assistant/core,153790,MERGED,4,2,60,47,1.11,5430,balloob,1
home-assistant/core,153789,MERGED,1,3,2,4,7.94,4539,cdce8p,0
home-assistant/core,153783,MERGED,1,2,5,2,11.54,8203,jpelgrom,0
home-assistant/core,153781,MERGED,3,2,4,2,8.43,5230,bieniu,1
home-assistant/core,153780,MERGED,2,6,107,18,16.55,5346,LaStrada,1
home-assistant/core,153779,MERGED,4,2,212,48,4.91,5008,allenporter,1
home-assistant/core,153769,MERGED,4,2,6,7,1.51,5062,Shulyaka,0
home-assistant/core,153765,MERGED,13,4,5,5,62.63,4810,VandeurenGlenn,2
home-assistant/core,153764,MERGED,2,3,3,3,1.85,4971,Shulyaka,0
home-assistant/core,153761,MERGED,1,2,23,9,20.89,4972,cdnninja,3
home-assistant/core,153759,MERGED,3,5,167,2,17.58,5166,chemelli74,3
home-assistant/core,153756,MERGED,4,3,3,3,4.23,5287,chemelli74,1
home-assistant/core,153748,MERGED,5,6,345,6,23.68,5224,edenhaus,1
home-assistant/core,153747,MERGED,2,4,9,2,9.0,4794,jbouwh,1
home-assistant/core,153746,MERGED,2,2,71,60,47.48,5279,bieniu,1
home-assistant/core,153744,MERGED,3,12,49,71,5.34,5180,zweckj,1
home-assistant/core,153743,MERGED,2,3,11,5,1.18,5174,chemelli74,1
home-assistant/core,153742,MERGED,3,3,3,3,6.8,5197,Sander0542,9
home-assistant/core,153739,MERGED,1,2,19,11,27.23,5064,oyvindwe,1
home-assistant/core,153737,MERGED,2,2,3,3,2.61,5361,bieniu,1
home-assistant/core,153735,MERGED,10,5,34,13,21.09,5367,tronikos,0
home-assistant/core,153732,MERGED,2,2,10,3,1.91,5297,zweckj,1
home-assistant/core,153729,MERGED,4,4,149,160,11.9,6044,davidrapan,10
home-assistant/core,153727,MERGED,2,3,3,3,2.48,4512,scop,0
home-assistant/core,153725,MERGED,2,1,11,1,2.3,5221,zweckj,1
home-assistant/core,153722,MERGED,6,5,9,9,12.65,4696,fredrike,1
home-assistant/core,153715,MERGED,2,1,1,1,1.04,5791,tronikos,0
