repo,pr_number,feedback_final,numero_revisoes,tamanho_files,tamanho_linhas_adicionadas,tamanho_linhas_removidas,tempo_analise_horas,descricao_caracteres,interacoes_participantes,interacoes_comentarios
home-assistant/core,153714,MERGED,2,3,3,3,1.11,5186,tronikos,0
home-assistant/core,153709,MERGED,7,1,7,4,66.3,5340,peetersch,5
home-assistant/core,153706,MERGED,3,2,249,6,18.24,5264,balloob,1
home-assistant/core,153704,MERGED,2,6,6,6,1.84,4702,bdraco,0
home-assistant/core,153696,MERGED,2,6,98,1,38.49,4809,CFenner,0
home-assistant/core,153693,MERGED,1,5,31,8,9.03,4944,cdnninja,1
home-assistant/core,153692,MERGED,5,3,10,37,9.4,4818,thecode,2
home-assistant/core,153691,MERGED,1,3,18,10,2.63,4957,CFenner,0
home-assistant/core,153683,MERGED,3,3,3,3,11.19,5214,Danielhiversen,0
home-assistant/core,153680,MERGED,6,2,1,1,18.47,5033,Shulyaka,0
home-assistant/core,153676,MERGED,2,1,3,2,14.87,4877,Shulyaka,1
home-assistant/core,153669,MERGED,2,3,3,3,1.33,4698,bdraco,1
home-assistant/core,153664,CLOSED,4,1,3,1,22.78,1594,psathwikaa,3
home-assistant/core,153647,MERGED,1,2,12,1,1.37,4723,jbouwh,2
home-assistant/core,153645,MERGED,3,9,132,104,67.49,4975,CFenner,3
home-assistant/core,153634,MERGED,2,2,38,22,26.5,4898,CFenner,0
home-assistant/core,153631,MERGED,6,5,109,0,29.65,4900,CFenner,3
home-assistant/core,153629,MERGED,1,3,3,3,13.29,4825,CFenner,0
home-assistant/core,153626,MERGED,2,3,3,3,4.32,4478,cdce8p,1
home-assistant/core,153624,MERGED,1,1,3,2,5.57,12873,cdce8p,1
home-assistant/core,153621,MERGED,1,2,86,118,52.74,6290,catsmanac,2
home-assistant/core,153616,CLOSED,9,5,100,4,3.73,1415,dollaransh17,29
home-assistant/core,153609,MERGED,5,3,53,24,57.37,4747,hanwg,4
home-assistant/core,153606,MERGED,1,4,40,1,1.49,5252,Lash-L,1
home-assistant/core,153605,MERGED,2,4,140,6,13.7,6061,tr4nt0r,3
home-assistant/core,153604,MERGED,1,1,6,2,14.1,5330,elupus,1
home-assistant/core,153601,MERGED,2,2,3,2,12.05,5604,elupus,1
home-assistant/core,153599,MERGED,3,3,3,3,1.67,2785,gjohansson-ST,0
home-assistant/core,153596,MERGED,1,2,23,26,23.83,6374,elupus,4
home-assistant/core,153595,CLOSED,3,85,7003,2080,14.21,7007,jodur,3
home-assistant/core,153593,MERGED,2,2,18,18,6.92,5510,Lash-L,2
home-assistant/core,153592,MERGED,4,3,3,3,3.86,5281,chemelli74,1
home-assistant/core,153591,MERGED,2,8,658,0,4.0,5695,catsmanac,2
home-assistant/core,153590,MERGED,2,15,67,513,19.55,5301,tr4nt0r,2
home-assistant/core,153585,MERGED,3,1,20,7,4.88,4878,eifinger,0
home-assistant/core,153581,MERGED,8,3,18,1,11.6,2694,gjohansson-ST,1
home-assistant/core,153580,MERGED,2,1,2,2,9.55,4894,dollaransh17,1
home-assistant/core,153573,MERGED,1,4,4,29,2.07,4752,tr4nt0r,0
home-assistant/core,153571,MERGED,2,4,141,102,15.95,2720,gjohansson-ST,4
home-assistant/core,153568,MERGED,2,3,26,59,52.67,2743,gjohansson-ST,0
home-assistant/core,153567,MERGED,4,6,6,264,3.4,5581,tr4nt0r,0
home-assistant/core,153566,CLOSED,1,1,22,0,1.13,5529,dollaransh17,2
home-assistant/core,153561,MERGED,1,7,23,14,1.81,5473,Lash-L,2
home-assistant/core,153560,MERGED,2,18,0,1088,3.59,5365,mib1185,0
home-assistant/core,153559,MERGED,13,3,79,0,46.63,5409,LaStrada,2
home-assistant/core,153558,MERGED,5,2,57,1,70.82,5042,mib1185,1
home-assistant/core,153555,CLOSED,1,1,757,0,18.41,5233,balloob,2
home-assistant/core,153546,CLOSED,2,12,813,159,63.22,5419,jodur,7
home-assistant/core,153544,CLOSED,2,1,4,0,75.35,266,naaa760,3
home-assistant/core,153540,CLOSED,14,1,4,2,126.39,4127,Yvan13120,3
home-assistant/core,153536,CLOSED,1,4,24,9,4.83,5297,dollaransh17,12
home-assistant/core,153529,MERGED,3,3,3,3,6.53,5848,LaStrada,1
home-assistant/core,153528,CLOSED,2,4,143,4,7.61,5009,epenet,1
home-assistant/core,153527,MERGED,2,1,44,29,61.82,5352,emontnemery,0
home-assistant/core,153524,MERGED,2,1,2,2,13.24,9356,dependabot[bot],0
home-assistant/core,153522,MERGED,8,2,130,3,10.87,5266,balloob,2
home-assistant/core,153521,MERGED,2,1,5,3,6.82,4595,Copilot,2
home-assistant/core,153520,MERGED,2,1,1,6,24.14,5385,Lash-L,1
home-assistant/core,153518,MERGED,10,2,44,60,23.69,4798,felipecrs,2
home-assistant/core,153512,MERGED,2,1,1,1,7.92,5305,LaStrada,1
home-assistant/core,153510,MERGED,4,2,11,4,64.24,5924,LaStrada,1
home-assistant/core,153505,MERGED,5,4,197,15,89.06,6221,felipecrs,2
home-assistant/core,153503,MERGED,8,4,58,9,19.13,4721,abmantis,2
home-assistant/core,153502,MERGED,2,4,860,993,1.71,4853,emontnemery,1
home-assistant/core,153500,MERGED,3,3,3,3,1.1,5049,puddly,1
home-assistant/core,153499,MERGED,2,2,7,7,64.21,5441,LaStrada,2
home-assistant/core,153493,MERGED,3,3,2,109,13.26,4972,cdnninja,4
home-assistant/core,153488,MERGED,1,3,3,3,1.84,5293,timmo001,1
home-assistant/core,153485,MERGED,22,7,466,1,23.96,5192,erwindouna,1
home-assistant/core,153483,MERGED,4,3,1,225,2.13,5399,dollaransh17,15
home-assistant/core,153481,CLOSED,1,5,29,12,48.42,5462,zweckj,3
home-assistant/core,153478,MERGED,2,1,4,1,2.17,5262,zweckj,0
home-assistant/core,153476,MERGED,1,3,3,3,1.03,5309,timmo001,0
home-assistant/core,153473,MERGED,2,2,16,37,135.13,2737,gjohansson-ST,0
home-assistant/core,153472,MERGED,6,2,5,10,75.62,2694,gjohansson-ST,0
home-assistant/core,153471,MERGED,3,2,22,11,3.48,5194,emontnemery,1
home-assistant/core,153470,MERGED,2,3,9,25,2.18,4921,emontnemery,2
home-assistant/core,153468,CLOSED,1,8,668,1,109.36,5055,johanzander,2
home-assistant/core,153465,MERGED,3,2,15,4,3.86,2732,gjohansson-ST,1
home-assistant/core,153464,MERGED,4,6,72,28,93.24,4816,AndyTempel,2
home-assistant/core,153463,MERGED,4,1,25,0,94.05,4857,PaTara43,2
home-assistant/core,153458,MERGED,2,3,3,3,1.49,4840,thecode,2
home-assistant/core,153456,MERGED,4,3,65,18,3.26,4911,emontnemery,1
home-assistant/core,153452,MERGED,3,2,12,9,4.41,5352,LaStrada,2
home-assistant/core,153450,MERGED,5,8,1316,4,66.76,5410,thecode,1
home-assistant/core,153448,MERGED,2,2,3,3,3.49,5472,LaStrada,1
home-assistant/core,153445,MERGED,2,2,16,0,2.56,4810,joostlek,0
home-assistant/core,153443,MERGED,3,3,3,10,4.09,4964,puddly,1
home-assistant/core,153442,MERGED,3,1,3,0,5.06,5288,LaStrada,2
home-assistant/core,153441,MERGED,2,1,5,5,1.29,5295,agners,0
home-assistant/core,153438,MERGED,3,6,297,2,8.22,4824,joostlek,0
home-assistant/core,153430,MERGED,7,2,8,1,7.59,5314,timmo001,1
home-assistant/core,153427,MERGED,2,1,2,2,7.88,4764,NoRi2909,1
home-assistant/core,153422,MERGED,6,2,105,8,7.13,5177,TheJulianJES,1
home-assistant/core,153417,MERGED,3,1,9,9,2.84,2730,dollaransh17,4
home-assistant/core,153413,MERGED,2,3,3,3,1.21,5351,erwindouna,0
home-assistant/core,153412,MERGED,2,7,344,0,1.36,4559,epenet,1
home-assistant/core,153411,MERGED,2,3,203,0,1.67,4559,epenet,1
home-assistant/core,153407,MERGED,2,7,451,0,3.44,4559,epenet,1
home-assistant/core,153406,MERGED,7,1,1,1,2.09,5190,zweckj,0
home-assistant/core,153405,MERGED,2,1,13,21,2.75,4860,emontnemery,1
home-assistant/core,153404,MERGED,3,3,987,8,14.8,5109,emontnemery,4
home-assistant/core,153402,CLOSED,3,1,116,535,4.24,5260,Shreekant-Bharti,2
home-assistant/core,153401,MERGED,1,3,3,3,1.73,5574,Kinachi249,0
home-assistant/core,153397,MERGED,1,2,1,2,9.04,4703,linuxkidd,4
home-assistant/core,153396,MERGED,1,3,3,3,8.81,5364,Lash-L,1
home-assistant/core,153388,MERGED,2,6,197,27,7.84,5300,emontnemery,1
home-assistant/core,153387,MERGED,2,1,17,5,11.11,5133,elupus,0
home-assistant/core,153380,MERGED,2,1,2,0,1.13,5443,starkillerOG,1
home-assistant/core,153370,MERGED,2,1,0,25,98.4,2692,gjohansson-ST,0
home-assistant/core,153367,MERGED,3,4,4,129,1.69,2682,gjohansson-ST,1
home-assistant/core,153366,MERGED,2,3,3,261,1.81,2676,gjohansson-ST,1
home-assistant/core,153365,CLOSED,1,1,1,1,26.54,1248,dianamunadi,1
home-assistant/core,153364,MERGED,2,2,0,54,14.38,2690,gjohansson-ST,1
home-assistant/core,153363,MERGED,2,3,2,53,2.0,2682,gjohansson-ST,1
home-assistant/core,153362,CLOSED,2,10,769,149,37.65,5126,jodur,2
home-assistant/core,153361,MERGED,4,2,11,6,15.81,4926,mib1185,1
home-assistant/core,153358,MERGED,1,6,330,6,117.04,5486,jbouwh,1
home-assistant/core,153352,MERGED,3,1,1,1,1.5,4827,alengwenus,0
home-assistant/core,153350,MERGED,7,18,5019,1808,24.37,2794,gjohansson-ST,3
home-assistant/core,153348,MERGED,2,4,284,4,44.36,5669,thecode,1
home-assistant/core,153345,MERGED,2,3,173,56,1.22,5289,puddly,2
home-assistant/core,153344,MERGED,2,6,6,6,2.08,5278,agners,1
home-assistant/core,153342,MERGED,8,4,13,2,72.2,5132,HarlemSquirrel,1
home-assistant/core,153336,MERGED,2,4,150,0,3.32,4572,epenet,1
home-assistant/core,153335,MERGED,2,3,3,3,1.43,5279,erwindouna,0
home-assistant/core,153334,MERGED,2,9,149,171,5.76,4873,emontnemery,1
home-assistant/core,153330,MERGED,2,2,7,9,4.62,4352,cdce8p,0
home-assistant/core,153329,MERGED,2,3,3,3,2.33,4466,cdce8p,0
home-assistant/core,153327,MERGED,2,3,3,3,4.81,4410,cdce8p,1
home-assistant/core,153326,MERGED,2,3,3,3,2.05,5386,erwindouna,0
home-assistant/core,153325,MERGED,2,3,3,3,4.11,4494,cdce8p,0
home-assistant/core,153324,MERGED,3,17,16,2596,7.13,5168,emontnemery,2
home-assistant/core,153322,MERGED,1,16,41,57,4.91,4406,cdce8p,0
home-assistant/core,153321,MERGED,1,5,4,10,20.85,4874,Shutgun,1
home-assistant/core,153317,MERGED,2,3,3,3,6.59,5190,CoMPaTech,0
home-assistant/core,153316,MERGED,2,1,881,66,2.51,4905,HarvsG,0
home-assistant/core,153315,MERGED,2,1,2,0,7.46,5198,LaStrada,1
home-assistant/core,153313,MERGED,2,9,107,101,3.21,4805,emontnemery,1
home-assistant/core,153306,MERGED,2,3,71,41,4.07,4799,emontnemery,1
home-assistant/core,153305,MERGED,2,4,1274,4,3.88,5338,bieniu,1
home-assistant/core,153303,MERGED,5,6,229,6,26.32,5013,erwindouna,2
home-assistant/core,153297,MERGED,2,5,75,4,129.68,5010,cdnninja,5
home-assistant/core,153293,MERGED,6,4,70,3,32.37,4971,tr4nt0r,0
home-assistant/core,153289,MERGED,4,2,47,1,11.64,5308,HarvsG,3
home-assistant/core,153285,MERGED,4,2,0,18,46.63,4836,joostlek,3
home-assistant/core,153284,CLOSED,1,1,39,11,19.42,5432,anaterth,2
home-assistant/core,153280,MERGED,2,4,27,4,1.4,4836,joostlek,0
home-assistant/core,153279,MERGED,2,2,11,0,1.36,4832,joostlek,0
home-assistant/core,153277,MERGED,7,16,174,64,16.27,5246,puddly,4
home-assistant/core,153276,MERGED,2,2,11,0,2.09,4839,joostlek,0
home-assistant/core,153273,MERGED,3,3,3,3,2.86,5297,edenhaus,3
home-assistant/core,153271,MERGED,4,2,38,23,19.56,4919,arturpragacz,1
home-assistant/core,153269,MERGED,6,2,18,4,4.94,5206,erwindouna,1
home-assistant/core,153264,MERGED,2,1,2,2,5.82,5202,NoRi2909,0
home-assistant/core,153262,MERGED,5,2,46,4,55.15,4692,emontnemery,1
home-assistant/core,153261,MERGED,2,1,4,0,52.07,5063,piitaya,4
home-assistant/core,153258,MERGED,2,2,42,0,1.97,4940,arturpragacz,1
home-assistant/core,153255,MERGED,2,1,2,2,4.26,4810,emontnemery,0
home-assistant/core,153251,MERGED,1,2,2,2,4.54,4457,cdce8p,0
home-assistant/core,153250,MERGED,2,9,6,11,3.64,4820,ludeeus,1
home-assistant/core,153249,MERGED,3,1,16,3,131.79,4862,emontnemery,1
home-assistant/core,153248,MERGED,6,2,20,40,24.14,4865,emontnemery,1
home-assistant/core,153247,MERGED,4,3,87,0,4.22,4950,emontnemery,1
home-assistant/core,153244,MERGED,2,1,6,0,4.69,4798,emontnemery,1
home-assistant/core,153243,MERGED,2,1,1,0,4.71,4800,emontnemery,1
home-assistant/core,153242,MERGED,2,2,13,3,4.71,4865,emontnemery,1
home-assistant/core,153239,MERGED,1,1,5,5,3.22,6297,dependabot[bot],0
home-assistant/core,153235,MERGED,2,2,31,5,29.61,4892,TheJulianJES,2
home-assistant/core,153234,MERGED,2,1,13,13,30.92,4094,TheJulianJES,11
home-assistant/core,153232,MERGED,2,1,3,3,31.27,3826,TheJulianJES,4
home-assistant/core,153223,MERGED,2,1,12,10,12.51,2658,gjohansson-ST,0
home-assistant/core,153206,MERGED,3,1,9,9,2.26,5146,c0ffeeca7,1
home-assistant/core,153204,MERGED,3,7,7,9,4.3,4390,piitaya,0
home-assistant/core,153203,MERGED,2,10,10,9,150.44,5679,andrew-codechimp,1
home-assistant/core,153202,MERGED,7,1,22,0,3.82,4918,emontnemery,1
home-assistant/core,153201,MERGED,2,1,1,1,151.61,5388,timmo001,0
home-assistant/core,153196,MERGED,1,7,5,56,1.75,230,emontnemery,4
home-assistant/core,153194,MERGED,2,5,265,116,4.54,4914,emontnemery,1
home-assistant/core,153193,MERGED,3,4,22,3,5.12,5272,joostlek,1
home-assistant/core,153191,MERGED,2,1,10,10,9.63,4747,cdce8p,5
home-assistant/core,153190,MERGED,4,5,422,53,7.73,5747,MartinHjelmare,2
home-assistant/core,153188,MERGED,2,4,6,3,3.17,4770,arturpragacz,1
home-assistant/core,153185,MERGED,3,5,7,3,4.54,5287,chemelli74,0
home-assistant/core,153183,MERGED,2,5,405,3,2.23,4786,andrew-codechimp,2
home-assistant/core,153180,MERGED,1,1,1,1,4.3,6569,dependabot[bot],0
home-assistant/core,153179,MERGED,1,1,2,2,4.35,9215,dependabot[bot],0
home-assistant/core,153173,MERGED,1,3,685,1,13.13,5124,cdnninja,3
home-assistant/core,153170,MERGED,8,4,77,0,17.43,5492,starkillerOG,0
home-assistant/core,153169,MERGED,2,3,9,1,10.58,5091,starkillerOG,0
home-assistant/core,153166,MERGED,3,4,90,0,133.09,5050,lboue,3
home-assistant/core,153161,MERGED,2,4,9,9,1.07,6494,starkillerOG,0
home-assistant/core,153150,MERGED,2,4,77,16,196.43,5171,allenporter,0
