HikariCP,20718,11.906913073237508,0,5027,3.0,1.0,0.0
DSA-Bootcamp-Java,20676,4.098562628336755,0,101640,2.0,1.0,1.0
shardingsphere,20453,9.6290212183436,58,674270,,,
DoKit,20388,7.058179329226557,14,58616,3.0,1.0,3.5
mybatis-3,20233,12.553045859000685,46,158277,3.0,1.0,1.0
RxAndroid,20085,11.044490075290897,20,1051,5.0,1.0,0.0
litemall,19924,7.455167693360712,8,24591,13.5,1.0,0.0
SpringBoot-Labs,19862,6.978781656399726,0,1813,,,
Ehviewer_CN_SXJ,19737,4.818617385352498,100,13648,4.0,1.0,1.0
thingsboard,19723,8.758384668035593,70,309746,7.0,1.0,1.0
cat,18936,12.750171115674195,3,114117,4.0,1.0,3.0
PhotoView,18871,13.13347022587269,5,16896,2.0,1.0,0.0
intellij-community,18785,13.930184804928132,5,5441887,,,
antlr4,18354,15.58384668035592,31,70508,6.0,1.0,3.0
Algorithms,18226,8.465434633812457,0,1274506,2.0,1.0,1.0
APIJSON,18198,8.785763175906913,100,73373,3.0,1.0,6.0
ip2region,18167,9.842573579739904,3,95840,,,
Sa-Token,18161,5.585215605749487,38,8793,2.0,1.0,1.0
awesome-low-level-design,18043,1.7987679671457906,0,15657,1.0,1.0,1.0
disruptor,17988,12.952772073921972,14,10129,2.0,1.0,0.0
SpringCloudLearning,17974,8.407939767282683,0,582,3.0,1.0,0.0
yudao-cloud,17865,6.3436002737850785,32,45505,,,
tinker,17559,8.993839835728952,60,7066,3.0,2.0,1.0
zipkin,17308,13.245722108145106,97,77306,5.5,1.5,0.0
analysis-ik,17215,13.71937029431896,1,7719,4.0,1.0,1.0
JustAuth,17193,6.5927446954141,46,9643,2.0,1.0,6.0
fresco,17136,10.510609171800137,55,78744,5.0,1.0,1.0
mybatis-plus,17105,9.045859000684462,38,32051,0.5,1.0,0.0
caffeine,17040,10.726899383983573,71,109724,4.0,1.0,0.0
material-components-android,16953,8.747433264887064,100,180590,4.0,1.0,1.0
Android-Universal-Image-Loader,16933,13.77138945927447,0,27133,3.0,1.0,1.0
DataX,16819,7.627652292950034,7,22958,4.5,2.5,0.0
java8-tutorial,16778,11.471594798083505,0,149,1.0,1.0,1.0
zheng,16729,8.917180013689254,0,41267,1.0,2.0,0.0
Grasscutter,16665,3.383983572895277,20,101542,5.0,2.0,0.0
BigData-Notes,16655,6.491444216290212,0,24052,2.0,1.0,0.0
springboot-learning-example,16558,8.574948665297741,0,407,4.0,1.0,0.0
tech-interview-for-developer,16550,6.239561943874059,0,6616,2.0,1.0,0.0
presto,16503,13.073237508555783,12,253029,,,
questdb,16139,11.353867214236825,93,903034,11.0,1.0,0.0
VirtualXposed,15828,7.759069130732375,50,49794,5.0,1.0,1.0
SpringBoot-Learning,15789,9.037645448323067,0,34384,2.0,1.0,0.0
Android-CleanArchitecture,15565,11.044490075290897,0,5191,3.0,1.0,0.0
mockito,15278,12.892539356605065,100,49494,3.0,1.0,0.0
hadoop,15263,11.019849418206707,0,596887,,,
bytecode-viewer,15218,10.8911704312115,61,648651,3.0,1.0,0.0
neo4j,15084,12.810403832991103,72,679549,2.0,1.0,1.0
quarkus,14979,7.167693360711842,100,416122,,,
flink-learning,14930,6.674880219028063,0,43620,3.5,1.0,0.0
pulsar,14858,9.1854893908282,100,248065,3.0,1.0,0.0
jd-gui,14748,10.447638603696099,18,56989,1.0,1.0,0.5
logstash,14637,14.798083504449007,100,131876,12.0,1.0,0.0
vert.x,14567,14.217659137577002,0,122306,4.0,1.0,1.0
CircleImageView,14531,11.630390143737166,0,1003,15.5,2.5,268.0
supertokens-core,14519,5.664613278576318,91,63845,4.0,1.0,4.0
QMUI_Android,14514,8.372347707049967,35,21963,3.0,1.0,0.5
ARouter,14493,8.725530458590006,16,26589,1.5,1.0,0.5
Arduino,14429,14.965092402464066,37,1390211,1.0,1.0,0.0
onedev,14310,6.828199863107461,100,228269,4.0,1.0,0.0
doris,14289,8.068446269678303,74,1145114,,,
zaproxy,14113,10.255989048596852,17,200954,5.0,2.0,10.0
deeplearning4j,14102,11.772758384668036,0,764664,12.5,1.0,7.0
jib,14023,7.616700889801506,100,16759,4.0,2.0,1.0
zuul,13891,12.479123887748118,29,6038,4.0,1.0,1.0
logger,13888,10.461327857631758,16,1873,6.0,1.0,0.0
dolphinscheduler,13835,6.513347022587269,53,219882,,,
druid,13830,12.865160848733744,68,395196,,,
spring-analysis,13726,8.985626283367557,0,4951,2.0,1.0,0.0
Java,13717,9.776865160848734,0,24346,1.0,1.0,0.0
pinpoint,13716,10.874743326488707,61,266704,2.0,1.0,0.0
piggymetrics,13702,10.43668720054757,2,1512,4.0,1.0,0.0
AndroidAutoSize,13694,7.049965776865161,14,3131,3.5,1.0,1.0
Luban,13677,9.114305270362765,6,5029,2.0,1.0,0.0
Material-Animations,13660,10.494182067077345,0,8692,2.5,1.0,0.0
cryptomator,13647,11.589322381930184,100,25468,7.0,1.0,1.0
mit-deep-learning-book-pdf,13598,8.410677618069816,3,43571,0.0,1.0,0.0
languagetool,13578,12.073921971252567,0,5963481,3.0,1.0,0.0
tink,13554,11.247091033538672,21,61010,3.5,1.5,0.5
PictureSelector,13541,8.6652977412731,100,542078,4.0,1.0,0.0
Android-PickerView,13481,10.688569472963723,0,6389,2.0,1.0,0.0
kkFileView,13324,7.728952772073922,16,664522,5.0,1.0,1.0
lombok,13279,16.240930869267626,0,81202,1.0,1.0,0.0
mall-learning,13258,6.398357289527721,0,39420,5.0,1.0,0.0
awesome-leetcode-resources,13225,1.864476386036961,0,244,1.0,1.0,0.0
banner,13033,9.36892539356605,0,11310,5.0,2.0,0.0
dex2jar,12908,10.472279260780287,8,8725,1.0,1.0,1.0
conductor,12778,8.7419575633128,100,29469,,,
stetho,12710,10.617385352498289,13,2392,2.0,1.0,0.0
spring-boot-admin,12689,11.1129363449692,100,84599,5.0,1.0,0.0
guice,12677,11.271731690622861,19,125307,1.0,1.0,0.0
COLA,12659,7.575633127994524,11,3828,3.0,1.0,0.0
greenDAO,12626,13.869952087611225,8,7353,4.0,1.0,0.0
eureka,12625,13.1088295687885,100,12489,3.0,1.0,0.0
mall-swarm,12612,5.776865160848733,3,54602,5.0,1.0,0.0
zookeeper,12599,16.44079397672827,0,150724,1.0,1.0,0.0
Matisse,12567,8.396988364134154,15,1991,5.0,1.0,0.0
metersphere,12476,5.587953456536619,67,421490,4.0,1.0,0.0
AndroidViewAnimations,12472,11.200547570157427,9,297,2.5,1.0,0.0
AndroidSwipeLayout,12407,11.028062970568104,18,399,2.0,1.0,0.0
Mybatis-PageHelper,12340,11.238877481177276,15,5333,5.0,1.0,0.0
jedis,12156,15.233401779603012,100,15817,3.0,1.0,1.0
android-interview-questions,12086,8.15605749486653,0,1516,0.0,1.0,0.0
plantuml,12085,14.833675564681725,60,444226,5.0,1.0,1.0
uCrop,12043,9.664613278576317,20,64991,2.0,1.0,1.0
matrix,11905,6.7323750855578375,16,199709,2.0,1.0,1.5
trino,11885,6.625598904859685,0,279322,,,
VasSonic,11871,8.093086926762492,10,16215,2.5,1.0,0.0
xManager,11859,4.569472963723477,51,4973,2.0,1.0,0.0
debezium,11852,9.618069815195073,0,69381,6.0,1.0,6.0
grpc-java,11842,10.740588637919233,100,111139,4.0,1.0,2.0
fullstack-tutorial,11682,7.397672826830938,0,65725,,,
xpipe,11638,2.6064339493497606,100,55280,5.0,1.0,1.0
webmagic,11626,12.366872005475702,33,17436,3.0,1.0,1.0
OpenSearch,11570,4.596851471594798,59,583914,7.0,1.0,0.0
OpenRefine,11518,12.889801505817934,72,406636,6.0,1.0,0.0
realm-java,11484,13.374401095140314,0,65920,4.5,2.0,0.0
CtCI-6th-Edition,11463,10.17659137577002,0,21487,1.0,1.0,1.0
ImmersionBar,11449,8.37782340862423,0,325009,2.0,1.0,0.0
Paper,11417,9.618069815195073,0,120687,5.0,1.0,3.0
newbee-mall,11394,5.95482546201232,0,36232,2.0,1.0,4.0
kafka-ui,11302,5.774127310061601,25,30382,5.0,1.0,1.0
jsoup,11243,15.71252566735113,20,6582,3.0,1.0,0.0
PermissionsDispatcher,11228,10.056125941136209,40,3009,0.5,1.0,0.5
interview,11214,11.126625598904859,0,1200,3.0,1.0,1.0
cas,11196,13.990417522245037,100,297183,6.0,1.0,15.0
lawnchair,11141,8.506502395619439,30,657588,,,
Aegis,11136,9.05407255304586,72,23077,5.0,1.0,1.0
FlycoTabLayout,11122,9.82340862422998,4,2620,3.0,2.0,1.0
SmarterStreaming,11113,9.442847364818617,0,6823341,2.0,1.0,0.0
FileDownloader,11112,9.702943189596168,65,40720,2.0,1.0,0.0
datahub,11051,9.796030116358658,100,550601,,,
SlidingMenu,11045,13.180013689253936,0,32085,3.0,2.0,0.0
androidannotations,11036,13.661875427789186,0,22510,7.0,2.0,3.5
jvm,10972,7.2032854209445585,0,66373,0.0,1.0,0.0
GmsCore,10944,11.367556468172484,41,13947,5.0,2.0,0.0
