nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
excalidraw/excalidraw,2020-01-02T01:04:43Z,2025-08-18T11:39:45Z,14,TypeScript,3695,2402,1835,105552
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,0,Dockerfile,765,285,43,103946
denoland/deno,2018-05-15T01:34:26Z,2025-08-17T13:26:29Z,341,Rust,13315,10883,2275,103926
facebook/create-react-app,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,83,JavaScript,1949,6567,1833,103428
langflow-ai/langflow,2023-02-08T22:28:03Z,2025-08-18T14:04:13Z,262,Python,4602,2251,429,102194
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,0,Java,0,161,179,101238
godotengine/godot,2014-01-04T16:05:36Z,2025-08-18T13:56:36Z,61,C++,38675,45974,12087,100341
microsoft/terminal,2017-08-11T18:38:22Z,2025-08-17T22:50:53Z,136,C++,4183,11857,1601,99232
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-06-27T08:46:37Z,1,Python,21,555,28,98665
angular/angular,2014-09-18T16:12:01Z,2025-08-18T12:42:18Z,467,TypeScript,3873,28000,1463,98501
fatedier/frp,2015-12-21T15:24:59Z,2025-08-15T08:11:06Z,106,Go,683,3837,61,97551
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2025-05-04T18:45:38Z,0,Shell,437,245,1,97220
mui/material-ui,2014-08-18T19:11:54Z,2025-08-18T13:33:06Z,547,TypeScript,20786,18550,1617,96392
iptv-org/iptv,2018-11-14T22:00:57Z,2025-08-18T00:14:12Z,0,TypeScript,6666,14324,447,96343
rustdesk/rustdesk,2020-09-28T15:36:08Z,2025-08-18T07:09:11Z,31,Rust,3631,3557,56,95892
ant-design/ant-design,2015-04-24T15:37:24Z,2025-08-18T11:19:45Z,713,TypeScript,15757,30384,1229,95687
tauri-apps/tauri,2019-07-13T09:09:37Z,2025-08-18T13:03:23Z,1000,Rust,5161,4640,1120,95664
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2025-08-18T05:10:39Z,0,Jupyter Notebook,376,165,11,95131
nvbn/thefuck,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,17,Python,481,472,287,93542
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,0,JavaScript,149,163,72,93357
shadcn-ui/ui,2023-01-04T12:43:27Z,2025-08-13T15:03:28Z,52,TypeScript,636,2372,969,93138
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2025-08-01T16:17:17Z,4,Dockerfile,586,346,434,92510
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-08-05T05:50:17Z,0,Java,1507,830,129,92505
pytorch/pytorch,2016-08-13T05:26:41Z,2025-08-18T14:16:25Z,61,Python,6191,37682,15478,92468
neovim/neovim,2014-01-31T13:39:22Z,2025-08-18T07:24:22Z,45,Vim Script,16116,11466,1640,92059
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-18T11:50:55Z,557,TypeScript,5412,6948,266,91758
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-07T12:15:04Z,0,JavaScript,514,242,89,91427
